chnm,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28
carboplatin,-1.5293459723167457,-0.7904185098395078,0.14280685763890666,-0.3841106293548044,-0.3826071316993468,0.21427633264948845,0.020065343345865398,-0.11767542027335562,-0.09660588040901519,-0.2902238619050335,-0.28525746597973656,-0.32731872534977663,-0.32436763325035345,-0.22500474737978088,-0.019220264444206853,-0.14053423465441373,0.015119449589022583,0.34359930014239737,-0.621814751276586,0.25242199785585595,-0.23201706291054178,-0.08181978566686086,-0.047447263716165436,0.057500577989372643,-0.11333146231011643,-0.29793621977463147,-0.08590324421633096,-0.04071042970557236
carisoprodol,-1.5059631968221192,-0.8873353026862204,0.15185743022346682,-0.38802646761884607,-0.41785102255151707,0.20334193811138687,0.053178753876642344,-0.20518246813196292,-0.16103077132617677,-0.15345029025738896,-0.3648681288655133,-0.3500370059775314,-0.3062426700840721,-0.4640972271031714,-0.3011134321355897,-0.000603539164095477,-0.33172564002418253,0.02003576214656917,-0.4832412993108998,0.04993933701800959,-0.3058177082813126,0.028949335027603208,-0.14825049240683372,0.18408210452307158,0.2142113607470221,-0.22542474287959494,0.058205526274086365,-0.08093676155706075
cefazolin,-1.5293368479892249,-0.7903802502850359,0.14280506946201188,-0.3841187638585231,-0.3826109885260645,0.21429283148028677,0.02005560865142503,-0.11766489200288867,-0.09657145024110286,-0.2902237146675742,-0.28519992900685137,-0.3272973581275839,-0.32441684057446935,-0.22495028213741858,-0.019201268434707,-0.14058545387501117,0.015145619257458515,0.34365060699952565,-0.6218161111512838,0.2524408643852574,-0.23196740713166192,-0.08180964740783532,-0.047427680494570405,0.057575951214234526,-0.11338422663347218,-0.29797150375216963,-0.08595413581010694,-0.04072792872579121
celecoxib,1.5779716032458875,1.5745694757437387,-0.38660017904507993,0.2331218382224814,1.2330761826963905,0.3580144117229989,-1.86852967603976,2.819389022377482,-0.8924329577949929,0.5070857723538558,1.5626887368694249,-0.9210135925777947,2.8769451640292343,-3.503817942001312,0.43793334079927193,-6.577144488876679,12.25838162449259,13.43215645749278,-1.0084780759834304,-2.0156044414740895,0.9190780695510796,0.2593838566114754,-3.239163441581646,3.8040051194189655,0.7651936960553986,1.1036815529386932,1.804805121346537,0.37797609164304535
cephalexin,-1.5293516867738828,-0.7904424713406343,0.1428079775526973,-0.3841055348124685,-0.3826047162149271,0.21426599962919562,0.020071440068501326,-0.11768201400316046,-0.09662744361116465,-0.2902239541180923,-0.2852935006973284,-0.3273321073853413,-0.3243368152921077,-0.22503885830930442,-0.01923216141762318,-0.1405021566694777,0.015103059838845178,0.34356716727174713,-0.6218138996033428,0.25241018197425863,-0.23204816173063805,-0.08182613513717213,-0.047459528453505435,0.05745337264060665,-0.11329841664580727,-0.2979141218417345,-0.08587137142015117,-0.0406994702786106
chlorambucil,1.5147994498691362,-0.4868529284005261,-0.09934785386346506,1.1659215428789227,-0.06404986651922275,1.3101423259177565,-0.0522977288484939,-1.1048306124767386,-0.4002245089379561,-0.16841155159317514,-2.8669870860823683,2.1657923992424064,1.9929321763211942,-2.899133081507935,0.0610528243262575,-0.7864933132255201,-0.5155471675384038,1.162560303675651,1.4864792475173427,-0.8629037819393071,-1.701967386575286,1.3628140179152077,-0.421091883478498,-1.429145583248611,5.03910070333588,-1.969955075587586,-0.5102485724736858,0.38909165638011867
chloramphenicol,-1.4259411138930866,-0.8594670479431111,0.029131148119540578,-0.18957161906191888,-0.2774107102057814,0.10419002824284056,-0.04641958703459509,-0.26256994634600433,-0.29284060146695234,-0.31565411585044395,-0.5166898401656248,-0.2696084416440045,0.02311114702413769,-0.3097398141089482,-0.2571952993817607,-0.012420769726789438,0.4076874712434585,0.18690225802228913,-0.7625905277555859,-0.054301841476610276,-0.2611744569929974,0.22951373647573503,0.40860518083422104,-0.39654280730223024,0.09280117933070617,0.15613943885312265,0.036240798384844224,0.20743735295931312
chlorpropamide,-1.4259036997607246,-0.8594386515112605,0.029099937857140535,-0.1895316806040362,-0.27738846142021745,0.10418174462224475,-0.046448298184648434,-0.26259431354378765,-0.29284932555824333,-0.3156604392018865,-0.5166797516697085,-0.2695679733069245,0.023140747704658463,-0.30969592335425444,-0.2572332688515583,-0.012449665255730871,0.4078193168397834,0.1869239524059274,-0.7626281499399323,-0.05435754055489336,-0.26112214767969283,0.2296055222578859,0.40874532746934616,-0.3965681566907086,0.09279036770647339,0.1562130454211171,0.03621077124567996,0.20747972450057625
cimetidine,-1.5059459281950929,-0.8873136411891138,0.1518575945691533,-0.3880374560266939,-0.4178649230561987,0.20335931186254635,0.05317544291847028,-0.20519234302945014,-0.16100534539122352,-0.15341450828430342,-0.364818337478086,-0.3500167331248534,-0.3062982576240973,-0.46409271261376145,-0.301163527315732,-0.0006298868883825097,-0.3317838503065372,0.020014418492987854,-0.48320689585862364,0.04990975334295215,-0.3057760632660939,0.02899059252648167,-0.14825273106331746,0.18420742576612584,0.21423195401167847,-0.22544911028868972,0.05818066760210913,-0.08096867797759598
cinchophen,-1.4691454010506833,-0.9006879652013753,0.05364115814884517,-0.3648888657296142,-0.3622364343390036,0.24780537509870168,0.16906522874179686,-0.0369819703944312,-0.30146308340465344,-0.26602084479240984,-0.23636337664982712,-0.18515842096235158,0.1079585330904038,-0.5795779434346642,-0.08199750360031995,-0.004521790538082615,-0.17352996876220295,-0.11239685375902185,-0.465847293686101,0.29052335052176437,-0.5629473541618044,-0.04071611435154638,0.22819589172218394,-0.19945002844323648,-0.12386051398422473,-0.3140484520426199,0.07661336742030063,0.026405088042789942
cladribine,1.089760071394466,-0.2953363911432025,-0.3927631136861919,-0.9543820282888956,-0.07255491395399548,-0.46601112112943394,-0.11724991562818998,-0.37395425097499335,-0.3460808566762232,0.13476752709380826,-0.7964014031657902,1.789447323013439,-6.645126003897968,3.091354701572177,-2.693546627262621,-1.729219265373505,1.484635376628119,-1.1384688121442499,4.220266021868455,2.3239606859508126,3.3195637693186346,-1.149132480646367,2.004997457012888,0.7369114500800382,7.957377863535031,-4.205727981771775,5.680771458293201,-3.1722143529725986
clofibrate,4.840870912747482,-4.311713867365087,2.2517329626229636,8.214349600164097,0.1099199746357674,-12.806560845384974,-13.749465277533895,27.013312105654478,3.1697824928399227,-0.16647190911140344,-3.44163156613689,-1.8318550564709968,-0.7224067536384253,-0.7620073580617001,-1.7433066618275213,1.1003855745165556,-1.6701016862817328,-0.7060731787810324,0.13837117588633133,0.1703491909466568,0.10494563379861398,0.4272520321978139,0.2710786261930134,-0.13396029254862352,-0.17514055182393698,0.35699094076585725,-0.1729875291757809,-0.0966171728865256
clotrimazole,0.4974356938106686,3.382855733611097,-3.0488764630072414,-6.358956859085808,-0.8965191047692422,-9.11453795451916,1.0806932964740101,-1.8277472053632544,-5.434506661104997,-1.4981517119225123,-6.134627632266054,-3.13236388881321,14.100590774908952,14.891562105019343,-4.903651450549968,-3.1048563461650924,0.7369363944437122,-2.4139110450220596,-3.356549253427515,-2.1031154363545137,0.5466545020754705,5.826991654457696,-0.04724876230135908,1.6599939752537871,1.3305436259287637,-1.9722524668438597,-0.8729354672627744,-0.9432996357300023
