chnm,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,classificn
amrinone,-1.5526188157191791,-0.970077545268977,0.13505330742604413,-0.2507493082328316,-0.1939903285150647,0.12728336524928965,0.1957799819171889,-0.2941826722978972,-0.10617541147888168,-0.320688401776226,-0.41421759739121566,-0.4503894394770839,-0.3589638154208498,-0.2483848893249509,0.04018484501281326,0.07319486571884004,0.5574920179565471,-0.5492311929581086,0.4342470171570038,0.1177106148243344,-0.17123205929596405,-0.34188205274149996,-0.3383388247064981,0.4981476788639528,0.18118623627562028,0.1320778330779829,0.13924718946839515,0.3590704642321376,0.2902949897171242,0.20451022000231855,0
anastrozole,-1.3502315663808437,-0.7817866892112952,0.038534828389445566,-0.4330623470505337,-0.3996910090463601,0.3555226570148227,0.04706889050322161,-0.26053920399614316,-0.231971505836731,-0.2314842646716302,-0.22814162652919154,-0.3761669051193049,-0.19859852127547883,-0.30296775787043534,-0.15902215850402326,0.23153652791507254,-0.07356206845794415,-0.466704923607369,-0.028703890350442206,-0.23493304045939445,-0.024710008661364313,0.14150554879809393,0.32053743741262053,0.14083245459706348,-0.12682056359558833,0.7349303152194498,-0.11549677057523212,-0.24430558008774675,0.07479161883032354,-0.1686534201377097,0
aspirin,0.4052902735079758,-1.439866916002025,0.09763573832672295,0.18633938896416033,0.31281765256606775,-0.007250957161340866,0.1023893601882718,-0.6941876444525318,1.4134823566816657,-0.34612221508366986,-1.3228688796557975,0.12759053904655787,1.2838950811398524,-1.877812683253918,-0.01856507684081622,-3.0138218914253505,0.8750758110269394,1.8195526942381286,0.6140130696310615,1.3810348788821911,-1.0844109924639926,0.22454604977173312,-0.050479115894586306,5.434571907318618,-1.0666681702065837,-1.8500117781042156,-1.6104928529689517,-0.8752466607911908,-2.339219498855079,3.05444696699474,0
atenolol,-1.4666439697784448,-0.5592929890189788,0.20951466526537416,-0.23708040511180029,-0.02355898163347095,0.33762258403151313,-0.12885294076724088,-0.3350642633193812,-0.17040317160452217,-0.29585004656960384,-0.5916198083824441,-0.4102007263281519,-0.4527285543996714,-0.08601177915442032,-0.2763514172516049,0.11036102470936236,1.5581651225691535,-0.016269620469124165,0.5017697232446884,-0.17117221302342422,-0.3224169329758422,-0.43084339952630113,-0.031662023335115634,0.6038573223596398,-0.31195875405890705,-0.23862849428135513,-0.013907865140340009,0.4496854172833384,-0.18368231120895637,0.37452885274658,0
auranofin,-1.0364549889802726,-0.4313927224281273,-0.28718272212638546,-0.6383182265569043,-0.22219742747477847,0.5468653077652608,0.13191768883520072,-0.3942906889371825,-0.49205327103594537,-0.453635789220247,1.2291906194204034,-0.27596781234254136,-0.7852782307214017,-0.45984508328261375,-0.281521043021043,0.8079303204643105,-1.7580415921472348,-0.954971786189172,-1.4028611031909604,-1.5048755186341465,1.003167160781198,0.41703366036703,-0.4831995562364166,-1.1130737645556084,-0.43462851346123527,0.02748454710325266,-0.6057711780552875,-0.5138156350188111,0.4781958980185806,-0.013803814431628371,0
azathioprine,-1.3294098422755105,-0.7289733883515682,0.13657387789665515,-0.015263796142731993,-0.048200948161998367,0.21511893542265306,0.14801962421830803,-0.39765044749222,-0.2868366980784959,-0.2111748343696558,-0.8203363739129578,-0.1057342786990826,-0.27838319126730615,-0.15230286416622768,0.27911665669333935,-0.2622948765161561,0.0813397108114682,0.14684886349000154,0.12245736374429976,0.7286661518522272,-0.16659098852635734,-0.2960026833300492,-0.07966078150826639,0.252805529536478,0.5516332887759066,-0.41296004964086425,0.44825876501354267,0.3721095665155905,-0.0090776811316796,0.361027541206477,1
azithromycin,-1.498216719468187,-0.8267544603735503,0.07616580943988262,-0.4454162873256462,-0.4466232408348555,0.24491340602249367,0.19481371441991088,-0.3208546025147781,-0.4276558014741298,-0.3433467940490525,-0.3075498302334993,-0.3105519076175779,-0.3713084625643505,-0.5149525515029227,-0.5903124318680532,0.5344391917674229,-0.3767253786773138,-0.653142788709969,0.21291128026234185,-0.565036539956057,0.2024672892649698,0.4820964295419447,-0.563180186417696,-0.614596539217174,-0.24843773913537617,-0.6296605049958147,-0.3409322187683793,-0.12611414490690756,0.29480870870923437,-0.13823098722186422,0
aztreonam,-1.4177197454420842,-1.0326037756867494,0.07161535966999412,-0.30490914483355613,-0.16288368351882584,-0.24703041978826024,0.17195516068206262,0.009030591781918618,-0.09160488214440361,0.00945468608339761,-0.6069538233489902,-0.6810375390012733,-0.4471539974367935,-1.0225136748725796,-0.04279099336369408,-0.3504771712495534,1.7990521380253037,-0.5019684673132113,0.24035396447324822,0.22666566770515262,-1.2504310182947802,-0.06893562130482626,-0.5709795946383127,0.6033604794251614,0.0009855217903190108,-0.5718122621761085,-0.06516754776634544,-0.09613804500805545,-0.6693223017530124,1.165456191027201,0
benzbromarone,-0.5207846258432922,-0.006421813449402138,-0.4311048701279215,-0.9810352208501336,-0.6292773985734679,0.24990393561911584,-0.31548765196665945,0.12809191644186374,-0.3198070088535665,0.1264766463180261,3.0181477123850784,1.0043001012216788,-0.6435742753238133,0.028510965993483635,-0.42301808190231976,0.40580456237876,-2.4894611394188852,-0.4874974723639916,-1.7744009220676324,-1.3134689917017577,1.3537345049109497,0.42384044312733027,-0.5068631235118586,-1.5727495840666954,-1.503385836911571,-0.3006996641650392,-0.7654855238079024,-1.0616171352302428,-1.1189827573060254,0.22197205274961168,1
bicalutamide,-1.3060994335216463,-0.6369393797402938,-0.12881562454952836,-0.28558845046033315,0.0026791679981151245,0.14272144622670457,-0.047810341397746696,-0.5545175171288849,-0.36304918728187574,-0.358743898166786,0.09253880540006429,-0.1171354546698589,-0.40156376650498915,-0.03140381582345334,-0.1451019670216388,0.598391141436466,-0.41490951306509766,-0.2634367612153741,-0.043624510854851944,-1.249802599916043,0.5585540422679278,0.12616112709927296,0.4705900606230506,0.21245595643532586,-0.5220988725570149,0.49084619697376586,-0.018829936292526803,-0.21287543570867065,0.331691069613617,-0.5209895596806962,1
